time,des_joint2_to_joint1,des_joint3_to_joint2,des_joint4_to_joint3,des_joint5_to_joint4,des_joint6_to_joint5,des_joint6output_to_joint6,act_joint2_to_joint1,act_joint3_to_joint2,act_joint4_to_joint3,act_joint5_to_joint4,act_joint6_to_joint5,act_joint6output_to_joint6
3.200000,0.404894,0.879209,-0.725686,0.795106,-0.279209,-0.074314,0.401155,0.852005,-0.749150,0.798845,-0.252005,-0.050850
3.250000,0.407612,0.886947,-0.720665,0.792388,-0.286947,-0.079335,0.401589,0.858939,-0.742650,0.798411,-0.258939,-0.057350
3.300000,0.410899,0.894766,-0.716133,0.789101,-0.294766,-0.083867,0.402630,0.866124,-0.736506,0.797370,-0.266124,-0.063494
3.350000,0.414736,0.902618,-0.712118,0.785264,-0.302618,-0.087882,0.404272,0.873516,-0.730755,0.795728,-0.273516,-0.069245
3.400000,0.419098,0.910453,-0.708645,0.780902,-0.310453,-0.091355,0.406529,0.881160,-0.725369,0.793471,-0.281160,-0.074631
3.450000,0.423959,0.918224,-0.705736,0.776041,-0.318224,-0.094264,0.409295,0.888704,-0.720591,0.790705,-0.288704,-0.079409
3.500000,0.429289,0.925882,-0.703407,0.770711,-0.325882,-0.096593,0.412653,0.896432,-0.716221,0.787347,-0.296432,-0.083779
3.550000,0.435055,0.933381,-0.701675,0.764945,-0.333381,-0.098325,0.416554,0.904190,-0.712364,0.783446,-0.304190,-0.087636
3.600000,0.441221,0.940674,-0.700548,0.758779,-0.340674,-0.099452,0.420988,0.911950,-0.709038,0.779012,-0.311950,-0.090962
3.650000,0.447750,0.947716,-0.700034,0.752250,-0.347716,-0.099966,0.425903,0.919627,-0.706276,0.774097,-0.319627,-0.093724
3.700000,0.454601,0.954464,-0.700137,0.745399,-0.354464,-0.099863,0.431272,0.927176,-0.704096,0.768728,-0.327176,-0.095904
3.750000,0.461732,0.960876,-0.700856,0.738268,-0.360876,-0.099144,0.437050,0.934541,-0.702509,0.762950,-0.334541,-0.097491
3.800000,0.469098,0.966913,-0.702185,0.730902,-0.366913,-0.097815,0.443223,0.941700,-0.701522,0.756777,-0.341700,-0.098478
3.850000,0.476655,0.972537,-0.704118,0.723345,-0.372537,-0.095882,0.449757,0.948613,-0.701144,0.750243,-0.348613,-0.098856
3.900000,0.484357,0.977715,-0.706642,0.715643,-0.377715,-0.093358,0.456584,0.955211,-0.701373,0.743416,-0.355211,-0.098627
3.950000,0.492154,0.982413,-0.709741,0.707846,-0.382413,-0.090259,0.463684,0.961473,-0.702211,0.736316,-0.361473,-0.097789
4.000000,0.500000,0.986603,-0.713397,0.700000,-0.386603,-0.086603,0.471009,0.967358,-0.703652,0.728991,-0.367358,-0.096348
4.050000,0.507846,0.990259,-0.717587,0.692154,-0.390259,-0.082413,0.478525,0.972834,-0.705691,0.721475,-0.372834,-0.094309
4.100000,0.515643,0.993358,-0.722285,0.684357,-0.393358,-0.077715,0.486155,0.977850,-0.708304,0.713845,-0.377850,-0.091696
4.150000,0.523345,0.995882,-0.727463,0.676655,-0.395882,-0.072537,0.493887,0.982396,-0.711491,0.706113,-0.382396,-0.088509
4.200000,0.530902,0.997815,-0.733087,0.669098,-0.397815,-0.066913,0.501793,0.986497,-0.715295,0.698207,-0.386497,-0.084705
4.250000,0.538268,0.999144,-0.739124,0.661732,-0.399144,-0.060876,0.509397,0.989927,-0.719469,0.690603,-0.389927,-0.080531
4.300000,0.545399,0.999863,-0.745536,0.654601,-0.399863,-0.054464,0.517234,0.992921,-0.724313,0.682766,-0.392921,-0.075687
4.350000,0.552250,0.999966,-0.752284,0.647750,-0.399966,-0.047716,0.524931,0.995314,-0.729617,0.675069,-0.395314,-0.070383
4.400000,0.558779,0.999452,-0.759326,0.641221,-0.399452,-0.040674,0.532236,0.997056,-0.735180,0.667764,-0.397056,-0.064820
4.450000,0.564945,0.998325,-0.766619,0.635055,-0.398325,-0.033381,0.539340,0.998217,-0.741123,0.660660,-0.398217,-0.058877
4.500000,0.570711,0.996593,-0.774118,0.629289,-0.396593,-0.025882,0.546343,0.998798,-0.747545,0.653657,-0.398798,-0.052455
4.550000,0.576041,0.994264,-0.781776,0.623959,-0.394264,-0.018224,0.553057,0.998770,-0.754287,0.646943,-0.398770,-0.045713
4.600000,0.580902,0.991355,-0.789547,0.619098,-0.391355,-0.010453,0.559544,0.998117,-0.761427,0.640457,-0.398117,-0.038573
4.650000,0.585264,0.987882,-0.797382,0.614736,-0.387882,-0.002618,0.565434,0.996899,-0.768536,0.634566,-0.396899,-0.031464
4.700000,0.589101,0.983867,-0.805234,0.610899,-0.383867,0.005234,0.571047,0.995060,-0.775987,0.628953,-0.395060,-0.024013
4.750000,0.592388,0.979335,-0.813053,0.607612,-0.379335,0.013053,0.576229,0.992630,-0.783599,0.623771,-0.392630,-0.016401
4.800000,0.595106,0.974314,-0.820791,0.604894,-0.374314,0.020791,0.580938,0.989630,-0.791308,0.619062,-0.389630,-0.008692
4.850000,0.597237,0.968835,-0.828402,0.602763,-0.368835,0.028402,0.585139,0.986087,-0.799052,0.614861,-0.386087,-0.000948
4.900000,0.598769,0.962932,-0.835837,0.601231,-0.362932,0.035837,0.588817,0.982010,-0.806807,0.611183,-0.382010,0.006807
4.950000,0.599692,0.956641,-0.843051,0.600308,-0.356641,0.043051,0.591953,0.977418,-0.814534,0.608047,-0.377418,0.014534
5.000000,0.600000,0.950000,-0.850000,0.600000,-0.350000,0.050000,0.594517,0.972362,-0.822154,0.605483,-0.372362,0.022154
5.050000,0.599692,0.943051,-0.856641,0.600308,-0.343051,0.056641,0.596498,0.966866,-0.829632,0.603502,-0.366866,0.029632
5.100000,0.598769,0.935837,-0.862932,0.601231,-0.335837,0.062932,0.597885,0.960981,-0.836903,0.602115,-0.360981,0.036903
5.150000,0.597237,0.928402,-0.868835,0.602763,-0.328402,0.068835,0.598670,0.954672,-0.843999,0.601330,-0.354672,0.043999
5.200000,0.595106,0.920791,-0.874314,0.604894,-0.320791,0.074314,0.598846,0.948016,-0.850830,0.601154,-0.348016,0.050830
5.250000,0.592388,0.913053,-0.879335,0.607612,-0.313053,0.079335,0.598384,0.940822,-0.857563,0.601616,-0.340822,0.057563
5.300000,0.589101,0.905234,-0.883867,0.610899,-0.305234,0.083867,0.597379,0.933915,-0.863464,0.602621,-0.333915,0.063464
5.350000,0.585264,0.897382,-0.887882,0.614736,-0.297382,0.087882,0.595734,0.926506,-0.869227,0.604266,-0.326506,0.069227
5.400000,0.580902,0.889547,-0.891355,0.619098,-0.289547,0.091355,0.593499,0.918941,-0.874558,0.606501,-0.318941,0.074558
5.450000,0.576041,0.881776,-0.894264,0.623959,-0.281776,0.094264,0.590644,0.911148,-0.879496,0.609356,-0.311148,0.079496
5.500000,0.570711,0.874118,-0.896593,0.629289,-0.274118,0.096593,0.587333,0.903543,-0.883790,0.612667,-0.303543,0.083790
5.550000,0.564945,0.866619,-0.898325,0.635055,-0.266619,0.098325,0.583429,0.895782,-0.887648,0.616571,-0.295782,0.087648
5.600000,0.558779,0.859326,-0.899452,0.641221,-0.259326,0.099452,0.579011,0.888046,-0.890966,0.620989,-0.288046,0.090966
5.650000,0.552250,0.852284,-0.899966,0.647750,-0.252284,0.099966,0.574116,0.880397,-0.893719,0.625884,-0.280397,0.093719
